"contrast","display_name","metric","subj_id","score","rank","grand_mean","subj_mean"
"ImageNet1K","ConvNext-B","crsa","1",0.297382795899307,9,0.317521705623535,0.315339400948403
"ImageNet1K","ConvNext-B","crsa","2",0.302204344946418,9,0.317521705623535,0.317105561301899
"ImageNet1K","ConvNext-B","crsa","5",0.289788244396452,9,0.317521705623535,0.333063344095777
"ImageNet1K","ConvNext-B","crsa","7",0.304106421583615,9,0.317521705623535,0.304578516148062
"ImageNet21K","ConvNext-B","crsa","1",0.326976295799632,9,0.317521705623535,0.315339400948403
"ImageNet21K","ConvNext-B","crsa","2",0.332884154537243,9,0.317521705623535,0.317105561301899
"ImageNet21K","ConvNext-B","crsa","5",0.324342359678515,9,0.317521705623535,0.333063344095777
"ImageNet21K","ConvNext-B","crsa","7",0.335508418894192,9,0.317521705623535,0.304578516148062
"ImageNet1K","ConvNext-L","crsa","1",0.249411259484308,4,0.317521705623535,0.315339400948403
"ImageNet1K","ConvNext-L","crsa","2",0.248074696621498,4,0.317521705623535,0.317105561301899
"ImageNet1K","ConvNext-L","crsa","5",0.222491512921378,4,0.317521705623535,0.333063344095777
"ImageNet1K","ConvNext-L","crsa","7",0.252618970640244,4,0.317521705623535,0.304578516148062
"ImageNet21K","ConvNext-L","crsa","2",0.351725993189552,4,0.317521705623535,0.317105561301899
"ImageNet21K","ConvNext-L","crsa","5",0.343677247499731,4,0.317521705623535,0.333063344095777
"ImageNet21K","ConvNext-L","crsa","1",0.354752544620836,4,0.317521705623535,0.315339400948403
"ImageNet21K","ConvNext-L","crsa","7",0.36208194331842,4,0.317521705623535,0.304578516148062
"ImageNet1K","MLP-Mixer-B16","crsa","1",0.345522190584748,7,0.317521705623535,0.315339400948403
"ImageNet1K","MLP-Mixer-B16","crsa","2",0.349212471658656,7,0.317521705623535,0.317105561301899
"ImageNet1K","MLP-Mixer-B16","crsa","5",0.3506001946403,7,0.317521705623535,0.333063344095777
"ImageNet1K","MLP-Mixer-B16","crsa","7",0.350162423867036,7,0.317521705623535,0.304578516148062
"ImageNet21K","MLP-Mixer-B16","crsa","1",0.263357764269118,7,0.317521705623535,0.315339400948403
"ImageNet21K","MLP-Mixer-B16","crsa","2",0.27032738388255,7,0.317521705623535,0.317105561301899
"ImageNet21K","MLP-Mixer-B16","crsa","5",0.2678580708794,7,0.317521705623535,0.333063344095777
"ImageNet21K","MLP-Mixer-B16","crsa","7",0.273054882306772,7,0.317521705623535,0.304578516148062
"ImageNet1K","MLP-Mixer-L16","crsa","1",0.348172203580117,8,0.317521705623535,0.315339400948403
"ImageNet1K","MLP-Mixer-L16","crsa","2",0.349893280048418,8,0.317521705623535,0.317105561301899
"ImageNet1K","MLP-Mixer-L16","crsa","5",0.34995419547389,8,0.317521705623535,0.333063344095777
"ImageNet1K","MLP-Mixer-L16","crsa","7",0.355292311308132,8,0.317521705623535,0.304578516148062
"ImageNet21K","MLP-Mixer-L16","crsa","7",0.22937758794047,8,0.317521705623535,0.304578516148062
"ImageNet21K","MLP-Mixer-L16","crsa","1",0.234699883071405,8,0.317521705623535,0.315339400948403
"ImageNet21K","MLP-Mixer-L16","crsa","2",0.240719018539781,8,0.317521705623535,0.317105561301899
"ImageNet21K","MLP-Mixer-L16","crsa","5",0.233154546043899,8,0.317521705623535,0.333063344095777
"ImageNet1K","ResMLP-Big-24","crsa","5",0.3519713091822,12,0.317521705623535,0.333063344095777
"ImageNet1K","ResMLP-Big-24","crsa","7",0.353009642125342,12,0.317521705623535,0.304578516148062
"ImageNet1K","ResMLP-Big-24","crsa","1",0.364833590180544,12,0.317521705623535,0.315339400948403
"ImageNet1K","ResMLP-Big-24","crsa","2",0.376350259256158,12,0.317521705623535,0.317105561301899
"ImageNet21K","ResMLP-Big-24","crsa","1",0.395648524703436,12,0.317521705623535,0.315339400948403
"ImageNet21K","ResMLP-Big-24","crsa","2",0.400990514939987,12,0.317521705623535,0.317105561301899
"ImageNet21K","ResMLP-Big-24","crsa","5",0.390176093357732,12,0.317521705623535,0.333063344095777
"ImageNet21K","ResMLP-Big-24","crsa","7",0.391947975602653,12,0.317521705623535,0.304578516148062
"ImageNet1K","Swin-B-P4-W7","crsa","1",0.309272145285896,10,0.317521705623535,0.315339400948403
"ImageNet1K","Swin-B-P4-W7","crsa","7",0.31584855445255,10,0.317521705623535,0.304578516148062
"ImageNet1K","Swin-B-P4-W7","crsa","2",0.291808744813328,10,0.317521705623535,0.317105561301899
"ImageNet1K","Swin-B-P4-W7","crsa","5",0.268370090119928,10,0.317521705623535,0.333063344095777
"ImageNet21K","Swin-B-P4-W7","crsa","7",0.319130752971559,10,0.317521705623535,0.304578516148062
"ImageNet21K","Swin-B-P4-W7","crsa","2",0.294155703380758,10,0.317521705623535,0.317105561301899
"ImageNet21K","Swin-B-P4-W7","crsa","1",0.333049666810332,10,0.317521705623535,0.315339400948403
"ImageNet21K","Swin-B-P4-W7","crsa","5",0.344200600784942,10,0.317521705623535,0.333063344095777
"ImageNet1K","Swin-L-P4-W7","crsa","2",0.286209079116321,11,0.317521705623535,0.317105561301899
"ImageNet1K","Swin-L-P4-W7","crsa","5",0.261717693353865,11,0.317521705623535,0.333063344095777
"ImageNet1K","Swin-L-P4-W7","crsa","1",0.28804212786001,11,0.317521705623535,0.315339400948403
"ImageNet1K","Swin-L-P4-W7","crsa","7",0.294933329813823,11,0.317521705623535,0.304578516148062
"ImageNet21K","Swin-L-P4-W7","crsa","2",0.311547642496159,11,0.317521705623535,0.317105561301899
"ImageNet21K","Swin-L-P4-W7","crsa","7",0.315957811737358,11,0.317521705623535,0.304578516148062
"ImageNet21K","Swin-L-P4-W7","crsa","1",0.329994881979821,11,0.317521705623535,0.315339400948403
"ImageNet21K","Swin-L-P4-W7","crsa","5",0.33986926554203,11,0.317521705623535,0.333063344095777
"ImageNet1K","ViT-B-P16","crsa","1",0.312336042889228,5,0.317521705623535,0.315339400948403
"ImageNet1K","ViT-B-P16","crsa","2",0.321098039735573,5,0.317521705623535,0.317105561301899
"ImageNet1K","ViT-B-P16","crsa","5",0.324567059373841,5,0.317521705623535,0.333063344095777
"ImageNet1K","ViT-B-P16","crsa","7",0.316878373100016,5,0.317521705623535,0.304578516148062
"ImageNet21K","ViT-B-P16","crsa","1",0.308661022020136,5,0.317521705623535,0.315339400948403
"ImageNet21K","ViT-B-P16","crsa","2",0.314377812036426,5,0.317521705623535,0.317105561301899
"ImageNet21K","ViT-B-P16","crsa","5",0.319283969083389,5,0.317521705623535,0.333063344095777
"ImageNet21K","ViT-B-P16","crsa","7",0.306534765380007,5,0.317521705623535,0.304578516148062
"ImageNet1K","ViT-B-P32","crsa","1",0.380643670799971,6,0.317521705623535,0.315339400948403
"ImageNet1K","ViT-B-P32","crsa","2",0.388797788781634,6,0.317521705623535,0.317105561301899
"ImageNet1K","ViT-B-P32","crsa","5",0.392509744358899,6,0.317521705623535,0.333063344095777
"ImageNet1K","ViT-B-P32","crsa","7",0.378772604522673,6,0.317521705623535,0.304578516148062
"ImageNet21K","ViT-B-P32","crsa","1",0.362206641141183,6,0.317521705623535,0.315339400948403
"ImageNet21K","ViT-B-P32","crsa","2",0.369195185895616,6,0.317521705623535,0.317105561301899
"ImageNet21K","ViT-B-P32","crsa","5",0.368464207804553,6,0.317521705623535,0.333063344095777
"ImageNet21K","ViT-B-P32","crsa","7",0.35776184755607,6,0.317521705623535,0.304578516148062
"ImageNet1K","ViT-L-P16","crsa","7",0.314817019143976,3,0.317521705623535,0.304578516148062
"ImageNet1K","ViT-L-P16","crsa","1",0.313807640943934,3,0.317521705623535,0.315339400948403
"ImageNet1K","ViT-L-P16","crsa","2",0.319533794588773,3,0.317521705623535,0.317105561301899
"ImageNet1K","ViT-L-P16","crsa","5",0.330663473319876,3,0.317521705623535,0.333063344095777
"ImageNet21K","ViT-L-P16","crsa","2",0.303958060046447,3,0.317521705623535,0.317105561301899
"ImageNet21K","ViT-L-P16","crsa","5",0.296811855350615,3,0.317521705623535,0.333063344095777
"ImageNet21K","ViT-L-P16","crsa","7",0.315305067025964,3,0.317521705623535,0.304578516148062
"ImageNet21K","ViT-L-P16","crsa","1",0.306074983514566,3,0.317521705623535,0.315339400948403
"ImageNet1K","ViT-S-P16","crsa","7",0.299267631366736,2,0.317521705623535,0.304578516148062
"ImageNet1K","ViT-S-P16","crsa","1",0.304679243334816,2,0.317521705623535,0.315339400948403
"ImageNet1K","ViT-S-P16","crsa","2",0.316538618671046,2,0.317521705623535,0.317105561301899
"ImageNet1K","ViT-S-P16","crsa","5",0.321767476314774,2,0.317521705623535,0.333063344095777
"ImageNet21K","ViT-S-P16","crsa","1",0.313523896788562,2,0.317521705623535,0.315339400948403
"ImageNet21K","ViT-S-P16","crsa","2",0.325458381783722,2,0.317521705623535,0.317105561301899
"ImageNet21K","ViT-S-P16","crsa","5",0.326281015309973,2,0.317521705623535,0.333063344095777
"ImageNet21K","ViT-S-P16","crsa","7",0.311584520108688,2,0.317521705623535,0.304578516148062
"ImageNet1K","ViT-S-P32","crsa","1",0.28200122663093,1,0.317521705623535,0.315339400948403
"ImageNet1K","ViT-S-P32","crsa","2",0.28632452536208,1,0.317521705623535,0.317105561301899
"ImageNet1K","ViT-S-P32","crsa","7",0.289617749132578,1,0.317521705623535,0.304578516148062
"ImageNet1K","ViT-S-P32","crsa","5",0.297319743772319,1,0.317521705623535,0.333063344095777
"ImageNet21K","ViT-S-P32","crsa","2",0.269135440636698,1,0.317521705623535,0.317105561301899
"ImageNet21K","ViT-S-P32","crsa","7",0.27695033106598,1,0.317521705623535,0.304578516148062
"ImageNet21K","ViT-S-P32","crsa","1",0.295470692772002,1,0.317521705623535,0.315339400948403
"ImageNet21K","ViT-S-P32","crsa","5",0.304680966402343,1,0.317521705623535,0.333063344095777
"ImageNet1K","ConvNext-B","wrsa","1",0.680480670439172,9,0.670686668638677,0.666476160145954
