"model1","model2","correlation","metric"
"convnext_large_classification","alexnet_classification",0.567811572452608,"crsa"
"convnext_large_classification","ResNet50-ClusterFit-16K-RotNet_selfsupervised",0.514853389236108,"crsa"
"convnext_large_classification","semnasnet_100_classification",0.584651918865492,"crsa"
"convnext_large_classification","ViT-L-SimCLR_slip",0.302808357631145,"crsa"
"convnext_large_classification","BiT-Expert-ResNet-V2-Bird_bit_expert",0.569339736540951,"crsa"
"convnext_large_classification","squeezenet1_0_classification",0.371139507665335,"crsa"
"convnext_large_classification","BiT-Expert-ResNet-V2-Food_bit_expert",0.576127851167004,"crsa"
"convnext_large_classification","RegNet-128Gf-SEER_seer",0.545910605860305,"crsa"
"convnext_large_classification","vit_base_r50_s16_224_in21k_classification",0.617565108299518,"crsa"
"convnext_large_classification","ViT-L-SLIP_slip",0.341712348918273,"crsa"
"convnext_large_classification","dla34_classification",0.652699579488732,"crsa"
"convnext_large_classification","RN101_clip",0.292489315838566,"crsa"
"convnext_large_classification","eca_nfnet_l0_classification",0.622306161415939,"crsa"
"convnext_large_classification","regnety_064_classification",0.313662244029907,"crsa"
"convnext_large_classification","hardcorenas_a_classification",0.508486660822546,"crsa"
"convnext_large_classification","vit_large_patch16_224_classification",0.63277551647948,"crsa"
"convnext_large_classification","vit_base_patch16_224_classification",0.409105857374528,"crsa"
"convnext_large_classification","convnext_large_in22k_classification",0.377710004444423,"crsa"
"convnext_large_classification","crossvit_base_240_classification",0.42605110540194,"crsa"
"convnext_large_classification","resnet50_classification",0.677471134353915,"crsa"
"convnext_large_classification","xcit_nano_12_p8_224_classification",0.450103890605787,"crsa"
"convnext_large_classification","vit_small_patch16_224_in21k_classification",0.468499989198525,"crsa"
"convnext_large_classification","swin_tiny_patch4_window7_224_classification",0.626462403185454,"crsa"
"convnext_large_classification","faster_rcnn_R_50_FPN_3x_detection",0.639381864757726,"crsa"
"convnext_large_classification","skresnext50_32x4d_classification",0.599410831115234,"crsa"
"convnext_large_classification","shufflenet_v2_x1_0_classification",0.678608632430416,"crsa"
"convnext_large_classification","keypoint_rcnn_R_50_FPN_3x_segmentation",0.52922115522114,"crsa"
"convnext_large_classification","mnasnet1_0_classification",0.311964962064144,"crsa"
"convnext_large_classification","vit_small_patch32_224_classification",0.447123344888256,"crsa"
"convnext_large_classification","deit_base_patch16_224_classification",0.626445228406404,"crsa"
"convnext_large_classification","ViT-B-CLIP_slip",0.312807949557988,"crsa"
"convnext_large_classification","convit_base_classification",0.422383334335432,"crsa"
"convnext_large_classification","poolformer_s36_classification",0.62748328389056,"crsa"
"convnext_large_classification","xcit_nano_12_p16_224_classification",0.502203946621436,"crsa"
"convnext_large_classification","BiT-Expert-ResNet-V2-Instrument_bit_expert",0.659312482058238,"crsa"
"convnext_large_classification","ViT-L-CLIP_slip",0.304431693987613,"crsa"
"convnext_large_classification","resmlp_big_24_224_in22ft1k_classification",0.585924433675518,"crsa"
"convnext_large_classification","pit_ti_224_classification",0.646432553270697,"crsa"
"convnext_large_classification","swin_large_patch4_window7_224_in22k_classification",0.594645418184744,"crsa"
"convnext_large_classification","resnet101_classification",0.608430478693279,"crsa"
"convnext_large_classification","vit_small_patch16_224_classification",0.499094347324853,"crsa"
"convnext_large_classification","convit_tiny_classification",0.683895431882245,"crsa"
"convnext_large_classification","inception_v3_classification",0.565250712546135,"crsa"
"convnext_large_classification","RegNet-32Gf-SEER-INFT_seer",0.5094833446123,"crsa"
"convnext_large_classification","vit_large_patch16_224_in21k_classification",0.397631449281989,"crsa"
"convnext_large_classification","RegNet-128Gf-SEER-INFT_seer",0.605530076444728,"crsa"
"convnext_large_classification","ViT-L-CLIP-CC12M_slip",0.297039729495798,"crsa"
"convnext_large_classification","BiT-Expert-ResNet-V2-Flower_bit_expert",0.573746786245511,"crsa"
"convnext_large_classification","gmlp_s16_224_classification",0.594603511490058,"crsa"
"convnext_large_classification","cspresnet50_classification",0.586961190805443,"crsa"
"convnext_large_classification","resmlp_24_224_classification",0.394763958410065,"crsa"
"convnext_large_classification","swin_large_patch4_window7_224_classification",0.490452071976273,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-B/32_clip",0.451654322503346,"crsa"
"RegNet-64Gf-SEER-INFT_seer","regnetx_064_classification",0.324099624854378,"crsa"
"RegNet-64Gf-SEER-INFT_seer","seresnext50_32x4d_classification",0.658994731991721,"crsa"
"RegNet-64Gf-SEER-INFT_seer","yolov5l_yolo",0.458151136351575,"crsa"
"RegNet-64Gf-SEER-INFT_seer","resnet152_classification",0.441554091467778,"crsa"
"RegNet-64Gf-SEER-INFT_seer","visformer_small_classification",0.456281677464848,"crsa"
"RegNet-64Gf-SEER-INFT_seer","mixer_l16_224_in21k_classification",0.407211654438652,"crsa"
"RegNet-64Gf-SEER-INFT_seer","dino_vitb16_selfsupervised",0.500864214237128,"crsa"
"RegNet-64Gf-SEER-INFT_seer","gmixer_24_224_classification",0.557625939016627,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ResNet50-SimCLR_selfsupervised",0.516570479859853,"crsa"
"RegNet-64Gf-SEER-INFT_seer","convmixer_768_32_classification",0.492294042790736,"crsa"
"RegNet-64Gf-SEER-INFT_seer","vit_base_patch32_224_classification",0.566862525595224,"crsa"
"RegNet-64Gf-SEER-INFT_seer","vgg16_classification",0.61302437778068,"crsa"
"RegNet-64Gf-SEER-INFT_seer","googlenet_classification",0.493738012023099,"crsa"
"RegNet-64Gf-SEER-INFT_seer","vit_base_patch16_224_in21k_classification",0.531262168452628,"crsa"
"RegNet-64Gf-SEER-INFT_seer","hardcorenas_f_classification",0.659430373925914,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ResNet50-PIRL_selfsupervised",0.515834196440636,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ResNet50-DeepClusterV2-2x224+6x96_selfsupervised",0.55385985020455,"crsa"
"RegNet-64Gf-SEER-INFT_seer","dino_resnet50_selfsupervised",0.569847547098487,"crsa"
"RegNet-64Gf-SEER-INFT_seer","mobilenet_v2_classification",0.474438448767644,"crsa"
"RegNet-64Gf-SEER-INFT_seer","pit_b_224_classification",0.493843037243546,"crsa"
"RegNet-64Gf-SEER-INFT_seer","mixer_b16_224_in21k_classification",0.38112209607004,"crsa"
"RegNet-64Gf-SEER-INFT_seer","RN50_clip",0.554710345742974,"crsa"
"RegNet-64Gf-SEER-INFT_seer","BiT-Expert-ResNet-V2-Mammal_bit_expert",0.551900291669815,"crsa"
"RegNet-64Gf-SEER-INFT_seer","RegNet-64Gf-SEER_seer",0.554833970168858,"crsa"
"RegNet-64Gf-SEER-INFT_seer","mixer_l16_224_classification",0.430822339782419,"crsa"
"RegNet-64Gf-SEER-INFT_seer","BiT-Expert-ResNet-V2-Animal_bit_expert",0.550028102315663,"crsa"
"RegNet-64Gf-SEER-INFT_seer","densenet121_classification",0.550578957033266,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-S-CLIP_slip",0.32791391645489,"crsa"
"RegNet-64Gf-SEER-INFT_seer","BiT-Expert-ResNet-V2-Object_bit_expert",0.559049457909369,"crsa"
"RegNet-64Gf-SEER-INFT_seer","tnt_s_patch16_224_classification",0.419322110683119,"crsa"
"RegNet-64Gf-SEER-INFT_seer","swin_base_patch4_window7_224_in22k_classification",0.343890359126614,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-B-SimCLR_slip",0.433952763867171,"crsa"
"RegNet-64Gf-SEER-INFT_seer","efficientnet_b1_classification",0.465394426978143,"crsa"
"RegNet-64Gf-SEER-INFT_seer","RegNet-32Gf-SEER_seer",0.536551858913713,"crsa"
"RegNet-64Gf-SEER-INFT_seer","vit_base_patch32_224_in21k_classification",0.509291155445905,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ghostnet_100_classification",0.651298761379581,"crsa"
"RegNet-64Gf-SEER-INFT_seer","jx_nest_tiny_classification",0.53892465984429,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-B/16_clip",0.428006563782824,"crsa"
"RegNet-64Gf-SEER-INFT_seer","mask_rcnn_R_50_FPN_3x_segmentation",0.53506518019491,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-L-SLIP-CC12M_slip",0.544803285528303,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised",0.629210545748275,"crsa"
"RegNet-64Gf-SEER-INFT_seer","coat_lite_tiny_classification",0.602894171590912,"crsa"
"RegNet-64Gf-SEER-INFT_seer","vit_small_patch32_224_in21k_classification",0.437949963834143,"crsa"
"RegNet-64Gf-SEER-INFT_seer","resnet18_classification",0.468397814268287,"crsa"
"RegNet-64Gf-SEER-INFT_seer","convnext_base_in22k_classification",0.584170223570983,"crsa"
