"model","display_name","train_task","contrast","subj_id","metric","score","rank"
"resnet50","Supervised (Reference)","classification","Category-Supervised","7","wrsa",0.609728496671414,1
"resnet50","Supervised (Reference)","classification","Category-Supervised","5","wrsa",0.7313551122318,1
"ViT-B-CLIP","CLIP-B","slip","CLIP","1","crsa",0.291384343920771,2
"ViT-B-CLIP","CLIP-B","slip","CLIP","2","crsa",0.298511015459063,2
"ViT-B-CLIP","CLIP-B","slip","CLIP","5","crsa",0.299746480289214,2
"ViT-B-CLIP","CLIP-B","slip","CLIP","7","crsa",0.287184876484862,2
"ViT-B-SimCLR","SimCLR-B","slip","SimCLR","1","crsa",0.335738627334735,3
"ViT-B-SimCLR","SimCLR-B","slip","SimCLR","2","crsa",0.347179574837684,3
"ViT-B-SimCLR","SimCLR-B","slip","SimCLR","5","crsa",0.349513371720694,3
"ViT-B-SimCLR","SimCLR-B","slip","SimCLR","7","crsa",0.332259637217412,3
"ViT-B-SLIP","SLIP-B","slip","SLIP","1","crsa",0.322783441673668,3
"ViT-B-SLIP","SLIP-B","slip","SLIP","2","crsa",0.334350804184976,3
"ViT-B-SLIP","SLIP-B","slip","SLIP","5","crsa",0.358549427009811,3
"ViT-B-SLIP","SLIP-B","slip","SLIP","7","crsa",0.3226971229537,3
"ViT-L-CLIP","CLIP-L","slip","CLIP","1","crsa",0.283131899337244,1
"ViT-L-CLIP","CLIP-L","slip","CLIP","2","crsa",0.285877477824227,1
"ViT-L-CLIP","CLIP-L","slip","CLIP","5","crsa",0.288404266318546,1
"ViT-L-CLIP","CLIP-L","slip","CLIP","7","crsa",0.279871420658223,1
"ViT-L-SimCLR","SimCLR-L","slip","SimCLR","1","crsa",0.316870296452528,2
"ViT-L-SimCLR","SimCLR-L","slip","SimCLR","2","crsa",0.333008116406582,2
"ViT-L-SimCLR","SimCLR-L","slip","SimCLR","5","crsa",0.337465616435471,2
"ViT-L-SimCLR","SimCLR-L","slip","SimCLR","7","crsa",0.321265486315853,2
"ViT-L-SLIP","SLIP-L","slip","SLIP","1","crsa",0.31021809605351,2
"ViT-L-SLIP","SLIP-L","slip","SLIP","2","crsa",0.319326731496709,2
"ViT-L-SLIP","SLIP-L","slip","SLIP","5","crsa",0.322030572414127,2
"ViT-L-SLIP","SLIP-L","slip","SLIP","7","crsa",0.310113214582143,2
"ViT-S-CLIP","CLIP-S","slip","CLIP","1","crsa",0.264148965613328,3
"ViT-S-CLIP","CLIP-S","slip","CLIP","7","crsa",0.262069794670905,3
"ViT-S-CLIP","CLIP-S","slip","CLIP","2","crsa",0.31706696852195,3
"ViT-S-CLIP","CLIP-S","slip","CLIP","5","crsa",0.33008334200025,3
"ViT-S-SimCLR","SimCLR-S","slip","SimCLR","1","crsa",0.329260184430124,1
"ViT-S-SimCLR","SimCLR-S","slip","SimCLR","2","crsa",0.347177211560416,1
"ViT-S-SimCLR","SimCLR-S","slip","SimCLR","5","crsa",0.35129304274306,1
"ViT-S-SimCLR","SimCLR-S","slip","SimCLR","7","crsa",0.330083441919341,1
"ViT-S-SLIP","SLIP-S","slip","SLIP","1","crsa",0.310980510113406,1
"ViT-S-SLIP","SLIP-S","slip","SLIP","2","crsa",0.336759954459191,1
"ViT-S-SLIP","SLIP-S","slip","SLIP","7","crsa",0.320591344497508,1
"ViT-S-SLIP","SLIP-S","slip","SLIP","5","crsa",0.357022349614169,1
"ViT-B-CLIP","CLIP-B","slip","CLIP","1","wrsa",0.645504104475299,2
"ViT-B-CLIP","CLIP-B","slip","CLIP","2","wrsa",0.672744534942229,2
"ViT-B-CLIP","CLIP-B","slip","CLIP","7","wrsa",0.58983110877051,2
"ViT-B-CLIP","CLIP-B","slip","CLIP","5","wrsa",0.764016937431494,2
"ViT-B-SimCLR","SimCLR-B","slip","SimCLR","1","wrsa",0.686128564338497,3
"ViT-B-SimCLR","SimCLR-B","slip","SimCLR","2","wrsa",0.71162446697408,3
"ViT-B-SimCLR","SimCLR-B","slip","SimCLR","5","wrsa",0.758183183026512,3
"ViT-B-SimCLR","SimCLR-B","slip","SimCLR","7","wrsa",0.609860796301151,3
"ViT-B-SLIP","SLIP-B","slip","SLIP","7","wrsa",0.622760356762406,3
"ViT-B-SLIP","SLIP-B","slip","SLIP","1","wrsa",0.699926108732438,3
"ViT-B-SLIP","SLIP-B","slip","SLIP","2","wrsa",0.724942886705659,3
"ViT-B-SLIP","SLIP-B","slip","SLIP","5","wrsa",0.777960939632818,3
"ViT-L-CLIP","CLIP-L","slip","CLIP","2","wrsa",0.643326644059055,1
"ViT-L-CLIP","CLIP-L","slip","CLIP","1","wrsa",0.645958881014529,1
"ViT-L-CLIP","CLIP-L","slip","CLIP","5","wrsa",0.738880067000373,1
"ViT-L-CLIP","CLIP-L","slip","CLIP","7","wrsa",0.591845693052596,1
"ViT-L-SimCLR","SimCLR-L","slip","SimCLR","1","wrsa",0.687618893679831,2
"ViT-L-SimCLR","SimCLR-L","slip","SimCLR","2","wrsa",0.704079799011239,2
"ViT-L-SimCLR","SimCLR-L","slip","SimCLR","5","wrsa",0.754276888678086,2
"ViT-L-SimCLR","SimCLR-L","slip","SimCLR","7","wrsa",0.614403547482065,2
"ViT-L-SLIP","SLIP-L","slip","SLIP","2","wrsa",0.720657203473417,2
"ViT-L-SLIP","SLIP-L","slip","SLIP","1","wrsa",0.691436394959998,2
"ViT-L-SLIP","SLIP-L","slip","SLIP","5","wrsa",0.765739183589551,2
"ViT-L-SLIP","SLIP-L","slip","SLIP","7","wrsa",0.628137174668724,2
"ViT-S-CLIP","CLIP-S","slip","CLIP","7","wrsa",0.594828280701983,3
"ViT-S-CLIP","CLIP-S","slip","CLIP","1","wrsa",0.660243645125881,3
"ViT-S-CLIP","CLIP-S","slip","CLIP","2","wrsa",0.680727865284525,3
"ViT-S-CLIP","CLIP-S","slip","CLIP","5","wrsa",0.745028523244596,3
"ViT-S-SimCLR","SimCLR-S","slip","SimCLR","1","wrsa",0.660855444061946,1
"ViT-S-SimCLR","SimCLR-S","slip","SimCLR","2","wrsa",0.709959264063888,1
"ViT-S-SimCLR","SimCLR-S","slip","SimCLR","5","wrsa",0.760478450395312,1
"ViT-S-SimCLR","SimCLR-S","slip","SimCLR","7","wrsa",0.622635001060801,1
"ViT-S-SLIP","SLIP-S","slip","SLIP","1","wrsa",0.680169746402812,1
"ViT-S-SLIP","SLIP-S","slip","SLIP","2","wrsa",0.700215719144854,1
"ViT-S-SLIP","SLIP-S","slip","SLIP","5","wrsa",0.767863846544474,1
"ViT-S-SLIP","SLIP-S","slip","SLIP","7","wrsa",0.606396365880113,1
