"model_string","training","depth_bin","metric","score"
"convit_base_classification","Trained",0.9,"cRSA",0.233017321199841
"convit_base_classification","Trained",0.9,"veRSA",0.557520666128539
"convit_base_classification","Trained",0.95,"cRSA",0.185201969076265
"convit_base_classification","Trained",0.95,"veRSA",0.574790070795967
"convit_base_classification","Trained",1,"cRSA",0.158992429395871
"convit_base_classification","Trained",1,"veRSA",0.536473405470422
"convit_base_random","Untrained",0.55,"cRSA",0.0589493167255026
"convit_base_random","Untrained",0.55,"veRSA",0.104139921455583
"convit_base_random","Untrained",0.6,"cRSA",0.0663281817515301
"convit_base_random","Untrained",0.6,"veRSA",0.113207382472464
"convit_base_random","Untrained",0.65,"cRSA",0.0604847892884083
"convit_base_random","Untrained",0.65,"veRSA",0.106299447987169
"convit_base_random","Untrained",0.7,"cRSA",0.0597224742553761
"convit_base_random","Untrained",0.7,"veRSA",0.105605388181946
"convit_base_random","Untrained",0.75,"cRSA",0.0672549266226637
"convit_base_random","Untrained",0.75,"veRSA",0.115883003522087
"convit_base_random","Untrained",0.8,"cRSA",0.0607903770468846
"convit_base_random","Untrained",0.8,"veRSA",0.105482314820995
"convit_base_random","Untrained",0.85,"cRSA",0.0677687644876592
"convit_base_random","Untrained",0.85,"veRSA",0.119465778642063
"convit_base_random","Untrained",0.9,"cRSA",0.0621161198486062
"convit_base_random","Untrained",0.9,"veRSA",0.110233279729905
"convit_base_random","Untrained",0.95,"cRSA",0.0609233579723631
"convit_base_random","Untrained",0.95,"veRSA",0.103273114937395
"convit_base_random","Untrained",1,"cRSA",0.0653863487250382
"convit_base_random","Untrained",1,"veRSA",0.10901711017441
"convit_tiny_classification","Trained",0.55,"cRSA",0.180971258210059
"convit_tiny_classification","Trained",0.55,"veRSA",0.46953350590352
"convit_tiny_classification","Trained",0.6,"cRSA",0.180078181492977
"convit_tiny_classification","Trained",0.6,"veRSA",0.525092893863649
"convit_tiny_classification","Trained",0.65,"cRSA",0.213859167529331
"convit_tiny_classification","Trained",0.65,"veRSA",0.517036931557956
"convit_tiny_classification","Trained",0.7,"cRSA",0.163441947984138
"convit_tiny_classification","Trained",0.7,"veRSA",0.483856641851116
"convit_tiny_classification","Trained",0.75,"cRSA",0.266769665748411
"convit_tiny_classification","Trained",0.75,"veRSA",0.609885298417454
"convit_tiny_classification","Trained",0.8,"cRSA",0.20407752535486
"convit_tiny_classification","Trained",0.8,"veRSA",0.531135345142974
"convit_tiny_classification","Trained",0.85,"cRSA",0.240675310969398
"convit_tiny_classification","Trained",0.85,"veRSA",0.606303111841785
"convit_tiny_classification","Trained",0.9,"cRSA",0.191064633117406
"convit_tiny_classification","Trained",0.9,"veRSA",0.51885563997041
"convit_tiny_classification","Trained",0.95,"cRSA",0.194250194267978
"convit_tiny_classification","Trained",0.95,"veRSA",0.522922382406706
"convit_tiny_classification","Trained",1,"cRSA",0.157692997302402
"convit_tiny_classification","Trained",1,"veRSA",0.52005306691835
"convit_tiny_random","Untrained",0.55,"cRSA",0.0572506296453833
"convit_tiny_random","Untrained",0.55,"veRSA",0.0722844455809268
"convit_tiny_random","Untrained",0.6,"cRSA",0.0659894314377091
"convit_tiny_random","Untrained",0.6,"veRSA",0.0858426144003522
"convit_tiny_random","Untrained",0.65,"cRSA",0.0590763837307157
"convit_tiny_random","Untrained",0.65,"veRSA",0.0777868862996294
"convit_tiny_random","Untrained",0.7,"cRSA",0.0563984081838678
"convit_tiny_random","Untrained",0.7,"veRSA",0.0757937091642365
"convit_tiny_random","Untrained",0.75,"cRSA",0.0652173710195405
"convit_tiny_random","Untrained",0.75,"veRSA",0.088369263231196
"convit_tiny_random","Untrained",0.8,"cRSA",0.0549091438096164
"convit_tiny_random","Untrained",0.8,"veRSA",0.0715277831688666
"convit_tiny_random","Untrained",0.85,"cRSA",0.0665029070037135
"convit_tiny_random","Untrained",0.85,"veRSA",0.0870679447728978
"convit_tiny_random","Untrained",0.9,"cRSA",0.0546998243562259
"convit_tiny_random","Untrained",0.9,"veRSA",0.0776135816504868
"convit_tiny_random","Untrained",0.95,"cRSA",0.0562622035161485
"convit_tiny_random","Untrained",0.95,"veRSA",0.0709331711505408
"convit_tiny_random","Untrained",1,"cRSA",0.0607067570998729
"convit_tiny_random","Untrained",1,"veRSA",0.0866728530454095
"convmixer_768_32_classification","Trained",0.55,"cRSA",0.227070367111664
"convmixer_768_32_classification","Trained",0.55,"veRSA",0.521438608833921
"convmixer_768_32_classification","Trained",0.6,"cRSA",0.228216690019261
"convmixer_768_32_classification","Trained",0.6,"veRSA",0.538286998356175
"convmixer_768_32_classification","Trained",0.65,"cRSA",0.221410457365291
"convmixer_768_32_classification","Trained",0.65,"veRSA",0.530544056310164
"convmixer_768_32_classification","Trained",0.7,"cRSA",0.223611794864451
"convmixer_768_32_classification","Trained",0.7,"veRSA",0.542761594087756
"convmixer_768_32_classification","Trained",0.75,"cRSA",0.254643876120856
"convmixer_768_32_classification","Trained",0.75,"veRSA",0.600278321693636
"convmixer_768_32_classification","Trained",0.8,"cRSA",0.243926307462315
"convmixer_768_32_classification","Trained",0.8,"veRSA",0.620526304543916
"convmixer_768_32_classification","Trained",0.85,"cRSA",0.263389266684186
"convmixer_768_32_classification","Trained",0.85,"veRSA",0.642366471265406
"convmixer_768_32_classification","Trained",0.9,"cRSA",0.232292578796846
"convmixer_768_32_classification","Trained",0.9,"veRSA",0.643870915235487
"convmixer_768_32_classification","Trained",0.95,"cRSA",0.169564464000241
"convmixer_768_32_classification","Trained",0.95,"veRSA",0.608813008379065
"convmixer_768_32_classification","Trained",1,"cRSA",0.158732438010341
"convmixer_768_32_classification","Trained",1,"veRSA",0.565279594200154
"convmixer_768_32_random","Untrained",0.55,"cRSA",0.0194282023905217
"convmixer_768_32_random","Untrained",0.55,"veRSA",0.0751557086066248
"convmixer_768_32_random","Untrained",0.6,"cRSA",0.0176984373783429
"convmixer_768_32_random","Untrained",0.6,"veRSA",0.031475469803898
"convmixer_768_32_random","Untrained",0.65,"cRSA",0.014165169219209
"convmixer_768_32_random","Untrained",0.65,"veRSA",0.00943651990872633
"convmixer_768_32_random","Untrained",0.7,"cRSA",0.00875955945238683
"convmixer_768_32_random","Untrained",0.7,"veRSA",0.00220381594874344
"convmixer_768_32_random","Untrained",0.75,"cRSA",0.00198882039404058
"convmixer_768_32_random","Untrained",0.75,"veRSA",-0.00037945467509002
"convmixer_768_32_random","Untrained",0.8,"cRSA",0.00261844336001792
"convmixer_768_32_random","Untrained",0.8,"veRSA",0.000471022606917276
"convmixer_768_32_random","Untrained",0.85,"cRSA",0.00217710368961127
"convmixer_768_32_random","Untrained",0.85,"veRSA",-0.000152505706763903
"convmixer_768_32_random","Untrained",0.9,"cRSA",0.00121001233961416
"convmixer_768_32_random","Untrained",0.9,"veRSA",0.000839224729683799
"convmixer_768_32_random","Untrained",0.95,"cRSA",-0.00290676824232604
"convmixer_768_32_random","Untrained",0.95,"veRSA",-0.00121120619072421
"convmixer_768_32_random","Untrained",1,"cRSA",-0.0018392900261774
"convmixer_768_32_random","Untrained",1,"veRSA",-0.000340566611490887
"convnext_base_classification","Trained",0.55,"cRSA",0.170502820550896
"convnext_base_classification","Trained",0.55,"veRSA",0.555779680341631
"convnext_base_classification","Trained",0.6,"cRSA",0.146117930720194
"convnext_base_classification","Trained",0.6,"veRSA",0.522240646823785
"convnext_base_classification","Trained",0.65,"cRSA",0.167884072105586
"convnext_base_classification","Trained",0.65,"veRSA",0.570627957721881
"convnext_base_classification","Trained",0.7,"cRSA",0.158838053133528
"convnext_base_classification","Trained",0.7,"veRSA",0.548561009253813
"convnext_base_classification","Trained",0.75,"cRSA",0.139805368116664
"convnext_base_classification","Trained",0.75,"veRSA",0.56373685689581
"convnext_base_classification","Trained",0.8,"cRSA",0.120688732894103
"convnext_base_classification","Trained",0.8,"veRSA",0.536428414133311
"convnext_base_classification","Trained",0.85,"cRSA",0.116652003607937
"convnext_base_classification","Trained",0.85,"veRSA",0.551861950921597
"convnext_base_classification","Trained",0.9,"cRSA",0.104303738425207
"convnext_base_classification","Trained",0.9,"veRSA",0.530074593391606
"convnext_base_classification","Trained",0.95,"cRSA",0.103884230317226
"convnext_base_classification","Trained",0.95,"veRSA",0.561567853621747
