"model_string","display_name","metric","score","rank","training"
"vit_tiny_patch16_224_classification","ViT-T-P16","CRSA",0.292787235092729,128,"ImageNet+"
"ViT-S-CLIP_slip","ViT-S-CLIP","CRSA",0.293342267701608,83,"ImageNet+"
"ViT-B-CLIP_slip","ViT-B-CLIP","CRSA",0.294206679038478,85,"ImageNet+"
"swin_base_patch4_window7_224_classification","Swin-B-P4-W7","CRSA",0.296324883667926,64,"ImageNet+"
"convnext_base_classification","ConvNext-B","CRSA",0.298370451706448,72,"ImageNet+"
"regnetx_064_classification","RegNetX-64","CRSA",0.303055881890433,77,"ImageNet+"
"vit_large_patch16_224_in21k_classification","ViT-L-P16-IN21K","CRSA",0.305537491484398,95,"ImageNet+"
"deit_base_patch16_224_classification","DeiT-B-P16-224","CRSA",0.309274833725458,116,"ImageNet+"
"vit_small_patch16_224_classification","ViT-S-P16","CRSA",0.310563242421843,112,"ImageNet+"
"vit_base_patch16_224_in21k_classification","ViT-B-P16-IN21K","CRSA",0.312214392129989,66,"ImageNet+"
"ViT-L/14_clip","CLiP-ViT-L/14","CRSA",0.314396265461297,11,"ImageNet+"
"crossvit_base_240_classification","CrossViT-B","CRSA",0.314788230776295,106,"ImageNet+"
"swin_tiny_patch4_window7_224_classification","Swin-T-P4-W7","CRSA",0.315281594122935,65,"ImageNet+"
"ViT-L-SLIP_slip","ViT-L-SLIP","CRSA",0.315422153636622,13,"ImageNet+"
"vit_base_patch16_224_classification","ViT-B-P16","CRSA",0.318719878774665,104,"ImageNet+"
"vit_small_patch16_224_in21k_classification","ViT-S-P16-IN21K","CRSA",0.319211953497736,113,"ImageNet+"
"jx_nest_tiny_classification","JX-NesT-Tiny","CRSA",0.319318911168437,87,"ImageNet+"
"vit_large_patch16_224_classification","ViT-L-P16","CRSA",0.31970548199914,111,"ImageNet+"
"resnet101_classification","ResNet101","CRSA",0.321730457432903,94,"ImageNet+"
"swin_base_patch4_window7_224_in22k_classification","Swin-B-P4-W7-IN21K","CRSA",0.322634180986898,15,"ImageNet+"
"squeezenet1_0_classification","SqueezeNet1.0","CRSA",0.322723104551099,124,"ImageNet+"
"coat_lite_tiny_classification","CoaT-Lite-Tiny","CRSA",0.322903124063489,79,"ImageNet+"
"swin_large_patch4_window7_224_in22k_classification","Swin-L-P4-W7-IN21K","CRSA",0.324342400438842,16,"ImageNet+"
"resnet18_classification","ResNet18","CRSA",0.324664339591631,110,"ImageNet+"
"ResNet50-ClusterFit-16K-RotNet_selfsupervised","ResNet50-ClusterFit-16K-RotNet","CRSA",0.326249469829857,121,"ImageNet+"
"ViT-L-SimCLR_slip","ViT-L-SimCLR","CRSA",0.327152378902608,40,"ImageNet+"
"ResNet50-DeepClusterV2-2x224+6x96_selfsupervised","ResNet50-DeepClusterV2","CRSA",0.329791786118654,42,"ImageNet+"
"convnext_base_in22k_classification","ConvNext-Base-IN21K","CRSA",0.329927807227396,12,"ImageNet+"
"dino_vitb16_selfsupervised","Dino-VIT-B16","CRSA",0.330507749181776,54,"ImageNet+"
"RegNet-128Gf-SEER_seer","RegNet-128Gf-SEER","CRSA",0.330694249834873,4,"ImageNet+"
"ViT-S-SLIP_slip","ViT-S-SLIP","CRSA",0.331338539671069,45,"ImageNet+"
"xception_classification","XCeption","CRSA",0.332479620839789,99,"ImageNet+"
"RegNet-64Gf-SEER-INFT_seer","RegNet-64Gf-SEER-INFT","CRSA",0.33250550984887,21,"ImageNet+"
"BiT-Expert-ResNet-V2-Flower_bit_expert","BiT-Expert-ResNet-V2-Flower","CRSA",0.33381418080141,36,"ImageNet+"
"visformer_small_classification","Visformer","CRSA",0.334100804761502,100,"ImageNet+"
"vit_base_r50_s16_224_in21k_classification","ViT-B-R50-S16-IN21K","CRSA",0.334441067885782,93,"ImageNet+"
"ViT-B-SLIP_slip","ViT-B-SLIP","CRSA",0.334595198955539,7,"ImageNet+"
"ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised","ResNet50-SwAV-BS4096","CRSA",0.337453781311998,56,"ImageNet+"
"alexnet_classification","AlexNet","CRSA",0.338324954990206,120,"ImageNet+"
"ViT-S-SimCLR_slip","ViT-S-SimCLR","CRSA",0.339453470163235,46,"ImageNet+"
"ViT-B-SimCLR_slip","ViT-B-SimCLR","CRSA",0.341172802777631,33,"ImageNet+"
"RegNet-128Gf-SEER-INFT_seer","RegNet-128Gf-SEER-INFT","CRSA",0.341703498281458,43,"ImageNet+"
"vgg16_classification","VGG16","CRSA",0.341786478691858,89,"ImageNet+"
"convmixer_768_32_classification","ConvMixer-768-32","CRSA",0.34240654411404,73,"ImageNet+"
"gmixer_24_224_classification","GMixer-24","CRSA",0.343638077749623,55,"ImageNet+"
"convit_base_classification","ConViT-B","CRSA",0.34505962631262,117,"ImageNet+"
"RN50_clip","ResNet50-CLIP","CRSA",0.345875571518963,1,"ImageNet+"
"resmlp_36_224_classification","ResMLP-36","CRSA",0.346077192820591,31,"ImageNet+"
"BiT-Expert-ResNet-V2-Object_bit_expert","BiT-Expert-ResNet-V2-Object","CRSA",0.348372138070172,19,"ImageNet+"
"BiT-Expert-ResNet-V2-Bird_bit_expert","BiT-Expert-ResNet-V2-Bird","CRSA",0.348665674593437,26,"ImageNet+"
"resnet152_classification","ResNet152","CRSA",0.348755843158559,98,"ImageNet+"
"mixer_b16_224_classification","MLP-Mixer-B16","CRSA",0.348874320187685,96,"ImageNet+"
"ViT-B/32_clip","CLiP-ViT-B/32","CRSA",0.349047116977608,5,"ImageNet+"
"keypoint_rcnn_R_50_FPN_3x_segmentation","Keypoint-RCNN-ResNet50-RCNN-FPN","CRSA",0.349293934695126,123,"ImageNet+"
"BiT-Expert-ResNet-V2-Abstraction_bit_expert","BiT-Expert-ResNet-V2-Abstraction","CRSA",0.349655249718515,14,"ImageNet+"
"BiT-Expert-ResNet-V2-Mammal_bit_expert","BiT-Expert-ResNet-V2-Mammal","CRSA",0.349801222969057,17,"ImageNet+"
"BiT-Expert-ResNet-V2-Vehicle_bit_expert","BiT-Expert-ResNet-V2-Vehicle","CRSA",0.350099594577561,38,"ImageNet+"
"yolov5l_yolo","YOLO-V5-L","CRSA",0.350105683846968,29,"ImageNet+"
"ViT-B/16_clip","CLiP-ViT-B/32","CRSA",0.350411378306599,6,"ImageNet+"
"mixer_l16_224_classification","MLP-Mixer-L16","CRSA",0.350827997602639,88,"ImageNet+"
"RegNet-64Gf-SEER_seer","RegNet-64Gf-SEER","CRSA",0.35123101888529,3,"ImageNet+"
"RegNet-32Gf-SEER_seer","RegNet-32Gf-SEER","CRSA",0.352421395952412,10,"ImageNet+"
"BiT-Expert-ResNet-V2-Instrument_bit_expert","BiT-Expert-ResNet-V2-Instrument","CRSA",0.352846419702904,37,"ImageNet+"
"convnext_large_in22k_classification","ConvNext-Large-IN21K","CRSA",0.353059432157135,8,"ImageNet+"
"RN101_clip","CLiP-ResNet101","CRSA",0.35317309169339,2,"ImageNet+"
"ResNet50-PIRL_selfsupervised","ResNet50-PIRL","CRSA",0.354787522151078,80,"ImageNet+"
"skresnext50_32x4d_classification","SKResNext50-32x4D","CRSA",0.355387632629078,90,"ImageNet+"
"BiT-Expert-ResNet-V2-Relation_bit_expert","BiT-Expert-ResNet-V2-Relation","CRSA",0.355761982308024,30,"ImageNet+"
"BiT-Expert-ResNet-V2-Food_bit_expert","BiT-Expert-ResNet-V2-Food","CRSA",0.355948333116041,41,"ImageNet+"
"yolov5s_yolo","YOLO-V5-S","CRSA",0.356176820136808,27,"ImageNet+"
"BiT-Expert-ResNet-V2-Animal_bit_expert","BiT-Expert-ResNet-V2-Animal","CRSA",0.356768240635451,22,"ImageNet+"
"shufflenet_v2_x1_0_classification","ShuffleNet-V2-x1.0","CRSA",0.357103687443078,102,"ImageNet+"
"retinanet_R_50_FPN_3x_detection","RetinaNet-ResNet50-RCNN-FPN","CRSA",0.357217188086672,91,"ImageNet+"
"mobilenet_v2_classification","MobileNet-V2","CRSA",0.357820482482453,69,"ImageNet+"
"dino_resnet50_selfsupervised","Dino-ResNet50","CRSA",0.358136871302894,48,"ImageNet+"
"dla34_classification","DLA34","CRSA",0.358758579261343,92,"ImageNet+"
"BiT-Expert-ResNet-V2-Arthropod_bit_expert","BiT-Expert-ResNet-V2-Arthropod","CRSA",0.36119397481086,35,"ImageNet+"
"resmlp_big_24_224_classification","ResMLP-Big-24","CRSA",0.361541200186061,24,"ImageNet+"
"ResNet50-SimCLR_selfsupervised","ResNet50-SimCLR","CRSA",0.361619689289492,18,"ImageNet+"
"RegNet-32Gf-SEER-INFT_seer","RegNet-32Gf-SEER-INFT","CRSA",0.361970473708285,20,"ImageNet+"
"mask_rcnn_R_50_FPN_3x_segmentation","Mask-RCNN-ResNet50-RCNN-FPN","CRSA",0.3633896697386,81,"ImageNet+"
"xcit_nano_12_p8_224_classification","XCIT-N-12-P8","CRSA",0.363516807787596,23,"ImageNet+"
"poolformer_s36_classification","PoolFormer-S36","CRSA",0.3636489765994,51,"ImageNet+"
"vit_base_patch32_224_in21k_classification","ViT-B-P32-IN21K","CRSA",0.364406970599356,109,"ImageNet+"
"resmlp_12_224_classification","ResMLP-12","CRSA",0.364914539892309,75,"ImageNet+"
"ResNet50-BarlowTwins-BS2048_selfsupervised","ResNet50-BarlowTwins-BS2048","CRSA",0.36704799817766,63,"ImageNet+"
"resmlp_24_224_classification","ResMLP-24","CRSA",0.368411515940519,49,"ImageNet+"
"densenet121_classification","DenseNet121","CRSA",0.368812779436822,86,"ImageNet+"
"mnasnet1_0_classification","MNASNet1.0","CRSA",0.368975838905901,78,"ImageNet+"
"yolov5m_yolo","YOLO-V5-M","CRSA",0.370379541308488,28,"ImageNet+"
"faster_rcnn_R_50_FPN_3x_detection","ResNet50-RCNN-FPN","CRSA",0.370387426849006,70,"ImageNet+"
"regnety_064_classification","RegNetY-64","CRSA",0.372330858512492,84,"ImageNet+"
"googlenet_classification","GoogleNet","CRSA",0.376684864851218,82,"ImageNet+"
"resnet50_classification","ResNet50","CRSA",0.378881404661809,60,"ImageNet+"
"seresnext50_32x4d_classification","SEResNext50-32x4D","CRSA",0.383631520019587,74,"ImageNet+"
"vit_base_patch32_224_classification","ViT-B-P32","CRSA",0.385180952115794,101,"ImageNet+"
"xcit_nano_12_p16_224_classification","XCIT-N-12-P16","CRSA",0.392453915336771,53,"ImageNet+"
"pit_ti_224_classification","PiT-T-224","CRSA",0.394388362950118,97,"ImageNet+"
"resmlp_big_24_224_in22ft1k_classification","ResMLP-Big-24-IN21K","CRSA",0.394690777150952,9,"ImageNet+"
"ghostnet_100_classification","GhostNet100","CRSA",0.398520091000847,71,"ImageNet+"
"cspresnet50_classification","CSP-ResNet50","CRSA",0.399676758956653,67,"ImageNet+"
"nf_resnet50_classification","NF-ResNet50","CRSA",0.400664952115988,32,"ImageNet+"
"eca_nfnet_l0_classification","ECA-NFNeT-L0","CRSA",0.400956167547613,57,"ImageNet+"
"gmlp_s16_224_classification","GMLP-S16","CRSA",0.402046371536414,39,"ImageNet+"
"semnasnet_100_classification","SemNASNet100","CRSA",0.404970484242164,62,"ImageNet+"
"mobilenetv3_large_100_classification","MobileNet-V3-Large","CRSA",0.412016541417,68,"ImageNet+"
"inception_v3_classification","Inception-V3","CRSA",0.416620290720153,76,"ImageNet+"
"nfnet_l0_classification","NF-Net-L0","CRSA",0.417204964333812,58,"ImageNet+"
"hardcorenas_a_classification","HardCoreNAS-A","CRSA",0.421924612226752,52,"ImageNet+"
"efficientnet_b1_classification","EfficientNet-B1","CRSA",0.422370289084752,34,"ImageNet+"
"levit_128_classification","LeViT128","CRSA",0.424757505187661,47,"ImageNet+"
"efficientnet_b3_classification","EfficientNet-B3","CRSA",0.430582847816565,59,"ImageNet+"
"hardcorenas_f_classification","HardCoreNAS-F","CRSA",0.435452821789894,44,"ImageNet+"
"shufflenet_v2_x1_0_random","ShuffleNet-V2-x1.0","WRSA",0.0484111170014511,224,"Untrained"
"mobilenetv3_large_100_random","MobileNet-V3-Large","WRSA",0.0570721362434575,223,"Untrained"
"regnetx_064_random","RegNetX-64","WRSA",0.0753292879536618,222,"Untrained"
"resnet152_random","ResNet152","WRSA",0.0753971550785051,221,"Untrained"
"gmixer_24_224_random","GMixer-24","WRSA",0.0782555879401682,220,"Untrained"
"convmixer_768_32_random","ConvMixer-768-32","WRSA",0.0823022326917199,219,"Untrained"
"efficientnet_b1_random","EfficientNet-B1","WRSA",0.084832218326512,218,"Untrained"
"resnet101_random","ResNet101","WRSA",0.0856224005472952,217,"Untrained"
"tnt_s_patch16_224_random","TnT-P16-224","WRSA",0.0893335210621157,216,"Untrained"
"semnasnet_100_random","SemNASNet100","WRSA",0.0895982684190234,215,"Untrained"
"resnet50_random","ResNet50","WRSA",0.0927240565216247,214,"Untrained"
"pit_ti_224_random","PiT-T-224","WRSA",0.0930978601743859,213,"Untrained"
"nfnet_l0_random","NF-Net-L0","WRSA",0.093717142706907,212,"Untrained"
"poolformer_s36_random","PoolFormer-S36","WRSA",0.0942273195435448,211,"Untrained"
"levit_128_random","LeViT128","WRSA",0.0953406106613421,210,"Untrained"
"convit_tiny_random","ConViT-T","WRSA",0.0962812794593525,209,"Untrained"
"coat_lite_tiny_random","CoaT-Lite-Tiny","WRSA",0.096478006812647,208,"Untrained"
"vit_tiny_patch16_224_random","ViT-T-P16","WRSA",0.0967475017787395,207,"Untrained"
"pit_b_224_random","PiT-B-224","WRSA",0.0977833412839977,206,"Untrained"
"resmlp_big_24_224_random","ResMLP-Big-24","WRSA",0.0982949004527945,205,"Untrained"
"mobilenet_v2_random","MobileNet-V2","WRSA",0.0998487672642903,204,"Untrained"
"crossvit_base_240_random","CrossViT-B","WRSA",0.10021241534237,203,"Untrained"
"resmlp_24_224_random","ResMLP-24","WRSA",0.100697672157939,202,"Untrained"
"resmlp_36_224_random","ResMLP-36","WRSA",0.100966158828301,201,"Untrained"
"convnext_base_random","ConvNext-B","WRSA",0.101573748020998,200,"Untrained"
"efficientnet_b3_random","EfficientNet-B3","WRSA",0.101986587329274,199,"Untrained"
"mixer_b16_224_random","MLP-Mixer-B16","WRSA",0.10264415578698,198,"Untrained"
"autoencoding_taskonomy","Autoencoder","WRSA",0.103054515047104,197,"Taskonomy"
"resmlp_12_224_random","ResMLP-12","WRSA",0.10305792347042,196,"Untrained"
"vit_small_patch32_224_random","ViT-S-P32","WRSA",0.105929944355862,195,"Untrained"
"vit_small_patch16_224_random","ViT-S-P16","WRSA",0.106113516154755,194,"Untrained"
"xcit_nano_12_p16_224_random","XCIT-N-12-P16","WRSA",0.106375443302492,193,"Untrained"
"convnext_large_random","ConvNext-L","WRSA",0.106915540208708,192,"Untrained"
"eca_nfnet_l0_random","ECA-NFNeT-L0","WRSA",0.108979729706682,191,"Untrained"
"inception_v3_random","Inception-V3","WRSA",0.109487186892379,190,"Untrained"
"swin_tiny_patch4_window7_224_random","Swin-T-P4-W7","WRSA",0.110466715880929,189,"Untrained"
"swin_base_patch4_window7_224_random","Swin-B-P4-W7","WRSA",0.110710114465379,188,"Untrained"
"gmlp_s16_224_random","GMLP-S16","WRSA",0.111295995524232,187,"Untrained"
"deit_base_patch16_224_random","DeiT-B-P16-224","WRSA",0.111822031413063,186,"Untrained"
"resnet18_random","ResNet18","WRSA",0.112547105325948,185,"Untrained"
"mixer_l16_224_random","MLP-Mixer-L16","WRSA",0.112686206450459,184,"Untrained"
"vit_base_patch16_224_random","ViT-B-P16","WRSA",0.113179556685399,183,"Untrained"
"ghostnet_100_random","GhostNet100","WRSA",0.114032100524357,182,"Untrained"
"hardcorenas_f_random","HardCoreNAS-F","WRSA",0.114184934575579,181,"Untrained"
"seresnext50_32x4d_random","SEResNext50-32x4D","WRSA",0.115083793325796,180,"Untrained"
"regnety_064_random","RegNetY-64","WRSA",0.115307269900153,179,"Untrained"
"swin_large_patch4_window7_224_random","Swin-L-P4-W7","WRSA",0.11547264488855,178,"Untrained"
"mnasnet1_0_random","MNASNet1.0","WRSA",0.115479322111051,177,"Untrained"
"vit_base_patch32_224_random","ViT-B-P32","WRSA",0.116324585367619,176,"Untrained"
"convit_base_random","ConViT-B","WRSA",0.117913466217995,175,"Untrained"
"keypoints2d_taskonomy","2D Keypoints","WRSA",0.118008558924159,174,"Taskonomy"
"dla34_random","DLA34","WRSA",0.118052737570364,173,"Untrained"
"squeezenet1_0_random","SqueezeNet1.0","WRSA",0.12147117888474,172,"Untrained"
"vgg16_random","VGG16","WRSA",0.122278165457196,171,"Untrained"
"vit_large_patch16_224_random","ViT-L-P16","WRSA",0.122540426652489,170,"Untrained"
"visformer_small_random","Visformer","WRSA",0.123006259521695,169,"Untrained"
"random_weights_taskonomy","Random Weights","WRSA",0.124592851008857,168,"Taskonomy"
"cspresnet50_random","CSP-ResNet50","WRSA",0.130713126173613,167,"Untrained"
"densenet121_random","DenseNet121","WRSA",0.131889290863765,166,"Untrained"
"alexnet_random","AlexNet","WRSA",0.133154536096829,165,"Untrained"
"skresnext50_32x4d_random","SKResNext50-32x4D","WRSA",0.1345556901375,164,"Untrained"
"xcit_nano_12_p8_224_random","XCIT-N-12-P8","WRSA",0.137995415630422,163,"Untrained"
"hardcorenas_a_random","HardCoreNAS-A","WRSA",0.140216063709411,162,"Untrained"
"denoising_taskonomy","Denoising","WRSA",0.142459039420514,161,"Taskonomy"
"xception_random","XCeption","WRSA",0.150478535269003,160,"Untrained"
