subj_id,sim_id,value
1,0,0.7909434892
1,1,0.7776818468
1,2,0.7902367653
1,3,0.8020013455
1,4,0.8171946058
2,0,0.8282360028
2,1,0.8313819976
2,2,0.8300868945
2,3,0.822504213
2,4,0.8479757508
5,0,0.8488617769
5,1,0.8507053049
5,2,0.8538998986
5,3,0.887933647
5,4,0.8718044387
7,0,0.6860464709
7,1,0.7184292774
7,2,0.7081723372
7,3,0.7031367469
7,4,0.7383746941
