voxel_id,subj_id,ncsnr,OTC,early,ventral,midventral,lateral,midlateral,parietal,midparietal,FFA-1,FFA-2,OFA,EBA,FBA-1,FBA-2,OPA,PPA,VWFA-1,VWFA-2,OWFA
S1-13-23-47,1,0.39863359928131104,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-23-48,1,0.39262616634368896,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-23-49,1,0.21764683723449707,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-23-51,1,0.24550874531269073,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-13-24-42,1,0.41450807452201843,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-24-43,1,0.4882080852985382,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-24-44,1,0.8107317686080933,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-24-45,1,0.5030826330184937,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-24-46,1,0.3694585859775543,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-24-47,1,0.4099257290363312,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-24-48,1,0.3216111660003662,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-24-49,1,0.4091002941131592,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-24-50,1,0.23662030696868896,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-13-25-44,1,0.7878808975219727,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-27-45,1,0.6087862849235535,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-27-46,1,0.44207245111465454,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-27-47,1,0.4321255683898926,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-28-46,1,0.3021303415298462,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-28-47,1,0.42599496245384216,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-29-45,1,0.2932107746601105,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-29-46,1,0.42769333720207214,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-17-45,1,0.4285341203212738,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-18-44,1,0.5843977928161621,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-18-45,1,0.7162935137748718,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-18-46,1,0.6410873532295227,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-18-47,1,0.6846911311149597,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-19-45,1,1.3094078302383423,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-19-46,1,1.0135520696640015,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-19-47,1,0.7113952040672302,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-19-48,1,0.6664629578590393,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-19-49,1,0.6496091485023499,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-20-44,1,0.9975263476371765,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-20-45,1,1.298936128616333,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-20-46,1,0.9550166726112366,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-20-47,1,0.6354144215583801,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-20-48,1,0.5705444812774658,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-20-49,1,0.383383184671402,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-20-51,1,0.4114479422569275,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-14-21-39,1,0.3310946524143219,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-21-40,1,0.21637316048145294,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-21-43,1,0.7866265177726746,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-21-44,1,0.42701077461242676,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-21-45,1,0.5335261225700378,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-21-46,1,0.5382172465324402,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-21-47,1,0.4220466911792755,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-21-48,1,0.4182489514350891,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-21-49,1,0.32754403352737427,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
