var1,var2,correlation,metric
convnext_large_classification,mixer_b16_224_classification,0.5741408852828325,crsa
convnext_large_classification,resmlp_big_24_224_classification,0.5226452653557149,crsa
convnext_large_classification,mobilenetv3_large_100_classification,0.5335790759580809,crsa
convnext_large_classification,BiT-Expert-ResNet-V2-Abstraction_bit_expert,0.597147876514687,crsa
convnext_large_classification,alexnet_gn_ipcl_vggface2,0.23418814491552997,crsa
convnext_large_classification,point_matching_taskonomy,0.21553112610880523,crsa
convnext_large_classification,BiT-Expert-ResNet-V2-Relation_bit_expert,0.6387721183128098,crsa
convnext_large_classification,swin_tiny_patch4_window7_224_random,0.14947611814239334,crsa
convnext_large_classification,xception_classification,0.6915921495665371,crsa
convnext_large_classification,visformer_small_random,0.13292568753997594,crsa
convnext_large_classification,efficientnet_b3_classification,0.4312061891985243,crsa
convnext_large_classification,ResNet50-BarlowTwins-BS2048_selfsupervised,0.22906645470323192,crsa
convnext_large_classification,vit_base_patch32_224_random,0.14012738126373994,crsa
convnext_large_classification,resmlp_36_224_classification,0.592995029118088,crsa
convnext_large_classification,nf_resnet50_classification,0.5964600541263556,crsa
convnext_large_classification,levit_128_classification,0.6077758388223155,crsa
convnext_large_classification,denoising_taskonomy,0.12557272504428638,crsa
convnext_large_classification,BiT-Expert-ResNet-V2-Arthropod_bit_expert,0.6463158205988033,crsa
convnext_large_classification,resmlp_12_224_classification,0.3628972481058446,crsa
convnext_large_classification,densenet121_random,0.1284679388444835,crsa
convnext_large_classification,swin_large_patch4_window7_224_random,0.14596634516977852,crsa
convnext_large_classification,room_layout_taskonomy,0.28724954175770506,crsa
convnext_large_classification,nfnet_l0_classification,0.5094685638363865,crsa
convnext_large_classification,retinanet_R_50_FPN_3x_detection,0.5194570674997219,crsa
convnext_large_classification,yolov5s_yolo,0.5796815710490645,crsa
convnext_large_classification,segment_unsup2d_taskonomy,0.2495757447687907,crsa
convnext_large_classification,depth_zbuffer_taskonomy,0.29486193528256655,crsa
convnext_large_classification,cspresnet50_random,0.09639276116308636,crsa
convnext_large_classification,vit_small_patch16_224_random,0.1341159041146178,crsa
convnext_large_classification,gmlp_s16_224_random,0.1426956820489455,crsa
convnext_large_classification,tnt_s_patch16_224_random,0.14807091357201704,crsa
convnext_large_classification,ResNet50-RotNet_selfsupervised,0.4569100054506226,crsa
convnext_large_classification,skresnext50_32x4d_random,0.04772268759844426,crsa
convnext_large_classification,ViT-S-SimCLR_slip,0.3153442779269759,crsa
convnext_large_classification,swin_base_patch4_window7_224_classification,0.581899238085007,crsa
convnext_large_classification,alexnet_gn_ipcl_places256,0.3492210741730392,crsa
convnext_large_classification,ViT-B-SLIP_slip,0.4786023064683089,crsa
convnext_large_classification,deit_base_patch16_224_random,0.15706305351755884,crsa
convnext_large_classification,keypoints3d_taskonomy,0.4265262020503204,crsa
convnext_large_classification,ResNet50-JigSaw-P100_selfsupervised,0.5424264663591698,crsa
convnext_large_classification,convnext_base_classification,0.8202974723392096,crsa
convnext_large_classification,yolov5m_yolo,0.5790651110535836,crsa
convnext_large_classification,edge_texture_taskonomy,0.12151665099079331,crsa
convnext_large_classification,BiT-Expert-ResNet-V2-Vehicle_bit_expert,0.6636033087793832,crsa
convnext_large_classification,ViT-S-SLIP_slip,0.4320011048668933,crsa
convnext_large_classification,ViT-L/14_clip,0.3334077528596698,crsa
convnext_large_classification,regnetx_064_random,0.09413065708172919,crsa
convnext_large_classification,alexnet_classification,0.5678115724526076,crsa
convnext_large_classification,ResNet50-ClusterFit-16K-RotNet_selfsupervised,0.5148533892361079,crsa
convnext_large_classification,alexnet_gn_ipcl_imagenet,0.5273681685205442,crsa
convnext_large_classification,semnasnet_100_classification,0.5846519188654917,crsa
convnext_large_classification,ViT-L-SimCLR_slip,0.30280835763114483,crsa
convnext_large_classification,vit_small_patch32_224_random,0.13472643655853236,crsa
convnext_large_classification,BiT-Expert-ResNet-V2-Bird_bit_expert,0.5693397365409513,crsa
convnext_large_classification,squeezenet1_0_classification,0.3711395076653352,crsa
convnext_large_classification,BiT-Expert-ResNet-V2-Food_bit_expert,0.576127851167004,crsa
convnext_large_classification,vit_base_patch16_224_random,0.13172890616740068,crsa
