Activity,X,Y,Z
Brain Responses,-36.03891896738567,-52.00681415321539,51.3970069673949
Brain Responses,-39.65549140235206,11.9273919303465,28.20819108664122
Brain Responses,92.09555461050724,33.366550400472406,-14.399205156130156
Brain Responses,12.716342565280206,-32.892610174527675,1.1723243893210302
Brain Responses,34.68026441878454,0.672391256729079,18.032863481154624
Brain Responses,-32.67331302385771,21.971855973298094,-15.224722584102224
Brain Responses,-41.61013085544633,-18.271273955063577,-0.9304805099309797
Brain Responses,-55.745640721657544,23.51588419954113,-17.234930706862258
Brain Responses,-14.94653392427528,-4.195840336868269,22.145334692776082
Brain Responses,30.764718541560615,-36.28049589561189,13.457143177699596
Brain Responses,-21.64062809775815,21.63779340863934,-6.049413088419522
Brain Responses,30.913427756733704,-22.79938162105568,-2.344685818744871
Brain Responses,-27.19653889349658,13.7491573820257,-35.48664718017317
Brain Responses,-53.79244095507853,-11.739644587990568,5.058330355100325
Brain Responses,-56.47375879269774,-18.29448000784507,-15.32550329498022
Brain Responses,63.411244607113,17.528343380055507,-6.118017104094735
Brain Responses,-43.397941835109016,15.468780299929278,-19.835920831413347
Brain Responses,-35.98050341978027,-10.716714258731319,-3.0243232217173546
Brain Responses,20.487479808970633,-35.25689262721202,-15.497540618461882
Brain Responses,-25.850224163413362,-3.382290911038529,34.278390152433325
Brain Responses,79.74940778166867,-40.87849568277765,-28.88159008791646
Brain Responses,27.242312930416496,2.6065057591705107,10.959790131215884
Brain Responses,1.2189584754762495,6.362297972488107,-4.652026484635714
Brain Responses,-12.89056041523659,-16.58326491055723,17.30106273084352
Brain Responses,-27.858877695713474,-48.028760995287136,1.3898130250882599
Brain Responses,-48.81440743508638,-17.101720002761805,-2.5389695231987086
Brain Responses,45.34525721472909,-17.290236920995714,-15.622062682586073
Brain Responses,20.677278296210478,-17.49603324384563,1.6944107089662848
Brain Responses,-40.24659725576629,-33.19733542902441,46.51267405393461
Brain Responses,53.57417404785703,31.115216106945205,-7.65891375688012
Brain Responses,6.716498819228242,9.087222099885118,-4.555098815775231
Brain Responses,-49.10404402221844,21.876960006460937,4.010103588272106
Brain Responses,-25.486134789851604,-2.4974394290095057,9.663757483162941
Brain Responses,40.458737879757756,-39.28829556741894,-11.223653578226985
Brain Responses,-3.4227430570693405,25.979114393415202,42.814987331908135
Brain Responses,1.5840893119982202,41.743274726042735,-17.10964273145451
Brain Responses,60.89020500305379,27.77140161077644,23.95196849868149
Brain Responses,4.599960186308008,40.1421578602103,23.763110208753123
Brain Responses,20.98593178900468,-23.036545569262795,-25.393342351452603
Brain Responses,74.07572601075032,-37.79639737826778,19.0922436075622
Brain Responses,-46.833961110509776,8.251501574124617,26.063922267424662
Brain Responses,38.452507593191264,-37.14603327089242,-18.36838591756896
Brain Responses,48.81594855917766,18.024702782356886,-28.280694072799342
Brain Responses,-76.35148208698182,6.420069569309391,-18.87585731250735
Brain Responses,43.2563856684165,6.622657040605236,20.423573664501127
Brain Responses,-54.569710175866184,13.318410069406744,21.00417137798804
Brain Responses,-37.728604636997716,16.597470713139824,-5.104670853548672
Brain Responses,-44.840711613879506,-9.290011266250236,54.44988136916973
Brain Responses,-23.966827253251594,-22.031487553602002,54.6742750014647
Brain Responses,28.302975502469028,-34.69378909817548,-44.00829152889417
Brain Responses,-58.39424820465739,21.108966353690317,-22.317158983923044
Brain Responses,13.069655262012274,-3.727100998976192,44.90944484348909
Brain Responses,52.195741255717195,-7.748063580377376,-26.228059169864817
Brain Responses,70.05320323487638,30.02999841905578,-20.731913661090225
Brain Responses,27.29437246848726,-24.898425437887944,10.847571992377022
Brain Responses,38.953733320602815,3.067368607017223,34.94394109845542
Brain Responses,9.173692376046874,-23.007684843637282,-39.11699802685047
Brain Responses,36.519332115668895,-55.80207559109968,18.15663060969597
Brain Responses,46.60783674263665,-68.49933688195227,-16.874302125779998
Brain Responses,24.511398888696572,4.943917058295598,0.770522338837991
Brain Responses,-26.606139062386315,-31.855243833211123,40.61079964649318
Brain Responses,-15.497541312090577,12.226754865209225,19.075169772939596
Brain Responses,-33.28861714775424,-4.236778374020805,14.468265709893766
Brain Responses,-78.95548977824038,44.04868994806405,-23.45103676931549
Brain Responses,4.395323516423863,31.86395039767551,-21.523325156957792
Brain Responses,58.15356485098273,9.593570610577947,21.929750005845555
Brain Responses,30.94837659278822,-23.632139952771894,-4.175277676512192
Brain Responses,49.11854393432659,14.070861395906125,24.770414425899048
Brain Responses,6.656851995384547,-4.268898006073297,17.42740836950176
Brain Responses,65.2547363599152,28.043561770634653,-36.02956744629558
Brain Responses,-47.0659515766028,8.751776020153784,-15.59357403991931
Brain Responses,85.09070098718432,43.51158892000148,10.049351171234223
Brain Responses,-65.76870770799191,91.15387418612245,-0.8796199227878231
Brain Responses,-5.6515867299975335,16.041220487703253,-3.417952276057255
Brain Responses,-47.07000694532903,-13.452519912807356,-4.6353531727274095
Brain Responses,100.40570780675492,-4.967273194007842,-5.649454454354485
Brain Responses,13.155884506804027,-5.718621533005946,-11.793485332944835
Brain Responses,28.772387216592247,7.405204191680144,12.420251914748244
Brain Responses,-40.73093475188159,19.744204752831383,41.83594206850698
Brain Responses,55.02480202802813,28.281862670330774,0.7409123792961132
Brain Responses,10.550846921904494,39.571455378716166,20.57535021858623
Brain Responses,-8.121736726657593,31.168635043033124,-29.906692121344257
Brain Responses,-15.164293219269265,26.622976730037774,-23.262430887038594
Brain Responses,10.67576653303321,22.10432183176445,-7.156043919165781
Brain Responses,29.155502526151864,57.639406709873235,-21.82082415618447
Brain Responses,40.4122743397781,40.68258707877472,3.872539975920547
Brain Responses,-27.26665002257959,31.072518809194012,3.6864821841381126
Brain Responses,-64.63789015733343,-16.092044194417713,-17.105493952909598
Brain Responses,21.09894272244076,-9.140126462603979,10.761464576681481
Brain Responses,26.03306019749896,18.975444305372182,-16.178705536707895
Brain Responses,-57.57744396117551,2.684264514931132,-36.98503563077372
Brain Responses,-49.4182945133088,-16.866965427052968,-2.795560472763206
Brain Responses,-64.35941111817141,32.06635836791055,33.62858881425485
Brain Responses,-22.850205775920593,-55.927826227265086,8.053398053840715
Brain Responses,-63.32031608435725,45.6236861811681,-19.913628632688738
Brain Responses,27.752910361966563,13.159691638358614,12.550317548055563
Brain Responses,43.06054819305979,14.952481611623716,-21.51621782464794
Brain Responses,-3.6653978344610505,-9.511111569119779,-18.502345832872216
Brain Responses,-12.52074020708842,-6.859081794461536,0.3650771661266099
Brain Responses,-11.368625609252687,-38.24834373482646,4.650421370052268
Brain Responses,19.081529258245016,7.945844694730395,18.813765795374504
Brain Responses,-52.3055594243502,-46.20457390158891,-8.827479720761213
